Марка,Модель,Год,Кузов,Пробег,Коробка,Топливо,Цена,Цвет
Porsche,911,2020,Coupe,90000,Automatic,Gasoline,90000,Red
Toyota,Tundra,2017,Pickup,28000,Automatic,Gasoline,30000,Black
Ford,F-150,2018,Pickup,32000,Automatic,Gasoline,32000,Gray
Chevrolet,Corvette,2021,Coupe,80000,Automatic,Gasoline,80000,Red
Nissan,Rogue,2019,SUV,22000,Automatic,Gasoline,22000,White
Honda,Accord,2020,Sedan,25000,Automatic,Gasoline,25000,Black
Jeep,Grand Cherokee,2021,SUV,45000,Automatic,Gasoline,45000,Gray
Hyundai,Tucson,2018,SUV,19000,Automatic,Gasoline,20000,Red
Kia,Optima,2016,Sedan,18000,Automatic,Gasoline,18000,Blue
Lexus,ES,2020,Sedan,40000,Automatic,Gasoline,40000,White
BMW,X5,2019,SUV,55000,Automatic,Gasoline,50000,Black
Mercedes-Benz,GLE,2020,SUV,60000,Automatic,Gasoline,55000,Gray
Audi,Q5,2021,SUV,45000,Automatic,Gasoline,45000,White
Subaru,Forester,2018,SUV,22000,Automatic,Gasoline,24000,Blue
Volkswagen,Golf,2017,Hatchback,15000,Automatic,Gasoline,17000,Black
Volvo,S60,2018,Sedan,28000,Automatic,Gasoline,28000,Gray
